name,tipping,category,speed,sectors,signal_1,signal_2,signal_3,signal_4,horizon,detectability,detectability_note,asset_classes
Seagrass transitions,false,marine,medium,Fisheries|Carbon markets|Coastal protection|Tourism,Seagrass meadow extent change (satellite + aerial),Blue carbon stock accounting,Nursery habitat loss for commercial fish species,Coastal turbidity / water quality indices,5–20 yr,Moderate,multi-spectral satellite improving,"Blue carbon credits, coastal fisheries, marine tourism, coastal RE"
Salt marshes to tidal flats,false,marine|terrestrial,medium,Insurance|Real estate|Carbon markets|Infrastructure,Marsh edge erosion rate (drone/satellite),Storm surge attenuation loss proxy,Carbon stock depletion accounting,Tidal flat expansion in coastal property zones,10–30 yr SLR dependent,Moderate-high,LiDAR + satellite,"Coastal P&C insurance, blue carbon credits, coastal infrastructure bonds"
Arctic benthos borealisation,false,marine|climate,medium,Fisheries|Shipping|Tourism|Sovereign,Species range shifts northward (trawl surveys),New commercial species appearance in Arctic waters,Predator–prey mismatch indices,Arctic fishing rights and treaty disputes,Ongoing — accelerating,Moderate,requires dedicated benthic surveys,"Arctic fisheries licences, sovereign risk (arctic states), shipping routes"
Primary productivity — Arctic Ocean,false,marine|climate,medium,Fisheries|Carbon|Shipping,MODIS/Sentinel chl-a anomalies in Arctic,Ice-free season length,Carbon export flux proxies,Zooplankton biomass shifts,Ongoing,High,satellite,"Arctic fisheries, carbon sequestration accounting, O&G (via sea ice context)"
Freshwater eutrophication,false,terrestrial,medium,Water utilities|Agriculture|Real estate|Tourism,Cyanobacteria bloom frequency in reservoirs,Drinking water treatment cost escalation,Lake clarity (Secchi depth) trends,Agricultural N/P loading from catchments,5–15 yr; can be rapid after threshold,Moderate-high,sentinel + in-situ,"Water utility bonds, lakefront RE, agri-chemical sector, bottled water"
Submerged to floating plants,false,terrestrial,fast,Water utilities|Agriculture|Tourism|Fisheries,Floating macrophyte cover in water bodies (satellite),Irrigation water intake blockage incidents,Hydropower reservoir capacity loss,Tourism/recreation value loss in affected lakes,2–10 yr once triggered,High,satellite clearly distinguishes surface cover,"Water utility bonds, hydropower assets, freshwater fisheries"
Forest to savanna,true,terrestrial|planetary,abrupt,Agriculture|Carbon markets|Insurance|Commodity,Amazon deforestation rate + rainfall recycling models,NDVI/EVI tree cover anomalies,Savannification front progression,Carbon credit permanence risk in forest offsets,Amazon: potentially <15 yr from tipping if deforestation continues,High,"PRODES, MapBiomas, INPE satellite monitoring","Agri-commodity futures (soy, beef), forest carbon credits, Brazilian sovereign/corporate bonds"
Peatland transitions,false,terrestrial|climate,slow,Carbon markets|Insurance|Agriculture|Energy,Peat fire frequency and area burned,Subsidence rates in drained peatlands,Carbon flux measurements (eddy covariance),Water table depth monitoring,Decades; peat fires can be rapid,Moderate,remote sensing for fire + subsidence,"Carbon credits (peatland restoration), palm oil / peat-adjacent agri, re-insurance"
Bush encroachment,false,terrestrial,slow,Agriculture|Carbon markets|Water|Livestock,Woody cover expansion rate in savanna/grassland (MODIS),Livestock carrying capacity loss,Water table drawdown in encroached areas,Biodiversity and pollinator proxy indices,10–30 yr,Moderate-high,satellite land cover change,"Livestock/ranching equities, agri-land values in sub-Saharan Africa, carbon removal credits"
Coniferous to deciduous forest,false,terrestrial|climate,slow,Forestry|Carbon markets|Timber|Insurance,Boreal tree mortality and beetle outbreak extent,Timber yield mix shifts,Forest carbon stock rebalancing,Wildfire risk premium change in conifer zones,20–50 yr,Moderate,forest inventory + satellite mortality detection,"Timber REITs, forest carbon credits, forest fire re-insurance"
Tundra to boreal forest,false,terrestrial|climate,slow,Carbon markets|Sovereign|Forestry|Infrastructure,Shrub/tree line advance rate (satellite),Permafrost degradation co-occurrence,Albedo feedback contribution,Infrastructure damage cost in transitioning zones,Decades,Moderate-high,satellite,"Arctic sovereign bonds, carbon credits (boreal expansion offset claims), infrastructure in affected zones"
Steppe to tundra,false,terrestrial|climate,slow,Agriculture|Carbon|Sovereign,Vegetation greenness loss in Central Asian steppes,Pastoral land productivity decline,Permafrost interaction and methane flux,Nomadic livelihood disruption proxies,Decades,Moderate,satellite vegetation indices,"Agri-land values in Central Asia, sovereign risk (Kazakhstan, Mongolia), carbon accounting"
Thermokarst lakes,false,terrestrial|climate,medium,Energy|Infrastructure|Carbon|Sovereign,Permafrost thaw lake area change (satellite),Methane ebullition measurements,"Infrastructure damage indices (roads, pipelines)",Siberian/Alaskan O&G facility ground stability,Ongoing — accelerating with warming,High,satellite lake area change well documented,"Arctic O&G infrastructure, pipeline operators, sovereign bonds (Russia, Canada), carbon accounting"
Indian summer monsoon,true,climate|planetary,abrupt,Agriculture|Insurance|Sovereign|Water,Monsoon onset timing and deficit anomalies,Indian reservoir storage levels,Kharif crop yield forecasts,South Asian sovereign credit risk premium,Non-linear risk; current weakening trend observable,Moderate,IMD + GRACE groundwater + satellite,"Indian agri-commodity futures, South Asian sovereign bonds, P&C insurance books, water-intensive Indian corporates"
River channel change,false,terrestrial,medium,Agriculture|Infrastructure|Insurance|Water,Channel migration rates (satellite time-series),Flood frequency and magnitude change,Sediment load proxies,Bridge/levee infrastructure damage cost trends,5–50 yr depending on river system,High,satellite clearly captures channel change,"Floodplain RE, river infrastructure bonds, flood insurance, agri-land near dynamic rivers"
Common pool resource harvesting,false,marine|terrestrial|urban,abrupt,Fisheries|Forestry|Water|Sovereign,Harvest effort vs. stock ratio trends,Governance breakdown indicators,Community conflict frequency,Resource quota violation rates,"Context-dependent; can be rapid after governance failure",Low-moderate,requires socio-economic + ecological monitoring,"Fisheries quota assets, forestry concessions, sovereign bonds where resource is GDP-significant"
Sprawling vs compact cities,false,urban,slow,Real estate|Infrastructure|Energy|Transport,Urban land expansion rate vs. population growth ratio,Per-capita infrastructure cost trajectories,Transit ridership and mode share,Urban heat island intensity trends,Decades; path-dependent,High,satellite urban extent monitoring,"Urban RE (spatial distribution matters), transport infrastructure, municipal bonds, energy utilities"
