name,tipping,category,speed,sectors,signal_1,signal_2,signal_3,signal_4,horizon,detectability,detectability_note,asset_classes,commodities,trade_directions,commodity_signal
Seagrass transitions,false,marine,medium,Fisheries|Carbon markets|Coastal protection|Tourism,Seagrass meadow extent change (satellite + aerial),Blue carbon stock accounting,Nursery habitat loss for commercial fish species,Coastal turbidity / water quality indices,5–20 yr,Moderate,multi-spectral satellite improving,"Blue carbon credits, coastal fisheries, marine tourism, coastal RE",Juvenile fish habitat|Carbon blue credits|Dugong/manatee tourism|Coastal storm protection value,Long: blue carbon credits (seagrass restoration)|Short: inshore trawling-dependent operators (gear regulation tightening),"Seagrass is a nursery habitat for commercial species including sea bass, mullet, and prawns. Loss is slow but directional. Blue carbon market values seagrass at $190–$500/tonne C."
Salt marshes to tidal flats,false,marine|terrestrial,medium,Insurance|Real estate|Carbon markets|Infrastructure,Marsh edge erosion rate (drone/satellite),Storm surge attenuation loss proxy,Carbon stock depletion accounting,Tidal flat expansion in coastal property zones,10–30 yr SLR dependent,Moderate-high,LiDAR + satellite,"Coastal P&C insurance, blue carbon credits, coastal infrastructure bonds",Nursery habitat for marine species|Blue carbon credits|Coastal flood insurance|Real estate in estuarine zones,Long: blue carbon restoration credits|Short: inshore seine net fisheries (habitat loss)|Short: estuarine property insurance,Salt marshes store carbon at 40x the rate of tropical forests per area. Their loss accelerates coastal flooding and removes juvenile fish habitat. Blue carbon credit prices currently $15–50/t CO2e.
Arctic benthos borealisation,false,marine|climate,medium,Fisheries|Shipping|Tourism|Sovereign,Species range shifts northward (trawl surveys),New commercial species appearance in Arctic waters,Predator–prey mismatch indices,Arctic fishing rights and treaty disputes,Ongoing — accelerating,Moderate,requires dedicated benthic surveys,"Arctic fisheries licences, sovereign risk (arctic states), shipping routes",Snow crab & cold-water shrimp|Temperate species (cod moving north)|Arctic eco-tourism,Long: Norwegian & Icelandic cod futures (northward range expansion)|Short: Canadian snow crab quota (southern range contraction)|Long: Svalbard/Arctic tourism operators,Warm-water species colonising Arctic seabed displace cold-adapted fauna. Atlantic cod range now extends into Barents Sea areas previously off-limits. Watch ICES quota decisions.
Primary productivity — Arctic Ocean,false,marine|climate,medium,Fisheries|Carbon|Shipping,MODIS/Sentinel chl-a anomalies in Arctic,Ice-free season length,Carbon export flux proxies,Zooplankton biomass shifts,Ongoing,High,satellite,"Arctic fisheries, carbon sequestration accounting, O&G (via sea ice context)",Capelin & herring|Krill (Antarctic proxy)|Arctic cod|Shipping + fishing access,Long: Arctic fishing access rights|Long: krill-based omega-3 industry (productivity shifts)|Watch: CCAMLR quota decisions as proxy,Ice loss is opening new productive ocean area. More light → more phytoplankton → new fish grounds. Russia and Norway jockeying for jurisdiction. Expect quota market emergence within 10 yr.
Freshwater eutrophication,false,terrestrial,medium,Water utilities|Agriculture|Real estate|Tourism,Cyanobacteria bloom frequency in reservoirs,Drinking water treatment cost escalation,Lake clarity (Secchi depth) trends,Agricultural N/P loading from catchments,5–15 yr; can be rapid after threshold,Moderate-high,sentinel + in-situ,"Water utility bonds, lakefront RE, agri-chemical sector, bottled water",Fertiliser (nitrogen/phosphorus)|Freshwater aquaculture|Drinking water infrastructure|Algaecide chemicals|Irrigation-fed crops,Long: water treatment tech stocks|Short: intensive fertiliser users near vulnerable watersheds|Long: precision ag / slow-release fertiliser producers,Fertiliser over-application creates dead-zone feedback. Phosphorus commodity traders should track Baltic and US Midwest algal bloom data — precedes regulatory nitrogen/P caps.
Submerged to floating plants,false,terrestrial,fast,Water utilities|Agriculture|Tourism|Fisheries,Floating macrophyte cover in water bodies (satellite),Irrigation water intake blockage incidents,Hydropower reservoir capacity loss,Tourism/recreation value loss in affected lakes,2–10 yr once triggered,High,satellite clearly distinguishes surface cover,"Water utility bonds, hydropower assets, freshwater fisheries",Freshwater fish (lakes and slow rivers)|Water hyacinth biomass|Navigation & irrigation access,"Long: aquatic weed management industry|Short: inland water transport in affected regions (Congo Basin, Lake Victoria)",Water hyacinth on Lake Victoria is already disrupting Nile perch trade ($250M/yr). Floating plant transitions driven by nutrient loading from agriculture — phosphorus a key control variable.
Forest to savanna,true,terrestrial|planetary,abrupt,Agriculture|Carbon markets|Insurance|Commodity,Amazon deforestation rate + rainfall recycling models,NDVI/EVI tree cover anomalies,Savannification front progression,Carbon credit permanence risk in forest offsets,Amazon: potentially <15 yr from tipping if deforestation continues,High,"PRODES, MapBiomas, INPE satellite monitoring","Agri-commodity futures (soy, beef), forest carbon credits, Brazilian sovereign/corporate bonds",Soy & cattle (Amazon)|Timber|Carbon credits|Brazilian sovereign bonds|Hydropower,Short: Amazon-adjacent hydro operators (reduced flow)|Long: carbon offset certificates (deforestation pressure)|Long: cerrado soy (less fire risk than forest-frontier)|Watch: Brazilian real exposure,"Amazon dieback tipping point (40% deforestation threshold) could be within 10 yr. Soy traders must model biome-level precipitation collapse, not just farm-level yield."
Peatland transitions,false,terrestrial|climate,slow,Carbon markets|Insurance|Agriculture|Energy,Peat fire frequency and area burned,Subsidence rates in drained peatlands,Carbon flux measurements (eddy covariance),Water table depth monitoring,Decades; peat fires can be rapid,Moderate,remote sensing for fire + subsidence,"Carbon credits (peatland restoration), palm oil / peat-adjacent agri, re-insurance",Carbon credits (peat stores ~30% of soil carbon)|Palm oil (SE Asian peat drainage)|Scotch whisky (Scottish peatland water)|Timber (boreal peat)|Peat-based horticulture,Short: peat-drained palm oil concessions (regulatory risk)|Long: peat-free horticulture alternatives|Long: voluntary carbon markets (peat rewetting projects),Drained peatlands are largest per-ha carbon emitters. EU taxonomy will increasingly exclude peat-drained palm oil. CPO futures traders should price in land-use regulation premium.
Bush encroachment,false,terrestrial,slow,Agriculture|Carbon markets|Water|Livestock,Woody cover expansion rate in savanna/grassland (MODIS),Livestock carrying capacity loss,Water table drawdown in encroached areas,Biodiversity and pollinator proxy indices,10–30 yr,Moderate-high,satellite land cover change,"Livestock/ranching equities, agri-land values in sub-Saharan Africa, carbon removal credits","Southern African beef & game|Safari tourism|Charcoal & bush biomass|Carbon credits (bush-to-charcoal)|Land values (Namibia, Botswana, Zimbabwe)",Long: biomass energy (invasive bush as feedstock)|Long: charcoal export from Namibia/Botswana|Short: cattle stocking rates on encroached land|Long: thorn-resistant livestock breeds,Invasive Acacia and Dichrostachys species reducing African pasture productivity by 30–60%. Namibia is monetising this as charcoal exports (€40M/yr). Carbon sequestration credits also being piloted.
Coniferous to deciduous forest,false,terrestrial|climate,slow,Forestry|Carbon markets|Timber|Insurance,Boreal tree mortality and beetle outbreak extent,Timber yield mix shifts,Forest carbon stock rebalancing,Wildfire risk premium change in conifer zones,20–50 yr,Moderate,forest inventory + satellite mortality detection,"Timber REITs, forest carbon credits, forest fire re-insurance",Softwood timber & pulp|Hardwood timber|Paper/packaging|Maple syrup|Certified forestry credits (FSC),"Short: softwood-focused Canadian & Nordic timber REITs|Long: hardwood futures (oak, beech, birch)|Long: pulp substitutes (bamboo, agricultural residue paper)",Spruce and pine retreat northward. Boreal pulp supply will tighten. Hardwood value rises in temperate zones. Watch FSC certification shifts as species mix changes.
Tundra to boreal forest,false,terrestrial|climate,slow,Carbon markets|Sovereign|Forestry|Infrastructure,Shrub/tree line advance rate (satellite),Permafrost degradation co-occurrence,Albedo feedback contribution,Infrastructure damage cost in transitioning zones,Decades,Moderate-high,satellite,"Arctic sovereign bonds, carbon credits (boreal expansion offset claims), infrastructure in affected zones",Softwood timber (new boreal expansion)|Carbon credits (loses tundra albedo benefit)|Reindeer/caribou herding|Methane (permafrost release),Long: Scandinavian & Canadian softwood futures (new productive forest area)|Short: traditional tundra-based herding operations|Long: methane-linked energy volatility plays,Net carbon impact is complex — new forest sequesters carbon but loses tundra albedo. Timber industry gains new productive land in Canada/Russia over 30–50 yr horizon.
Steppe to tundra,false,terrestrial|climate,slow,Agriculture|Carbon|Sovereign,Vegetation greenness loss in Central Asian steppes,Pastoral land productivity decline,Permafrost interaction and methane flux,Nomadic livelihood disruption proxies,Decades,Moderate,satellite vegetation indices,"Agri-land values in Central Asia, sovereign risk (Kazakhstan, Mongolia), carbon accounting",Russian/Kazakh wheat & barley|Cashmere (Mongolian goat herding)|Pastoralism & livestock|Wool,Long: wheat futures (Central Asian steppe degradation reduces supply)|Short: cashmere (Mongolian pasture degradation already underway)|Long: synthetic fibre substitutes,Mongolian dzud events (extreme freeze-thaw) are increasing in frequency. Direct cashmere supply risk. Central Asian wheat belt is already under soil degradation stress.
Thermokarst lakes,false,terrestrial|climate,medium,Energy|Infrastructure|Carbon|Sovereign,Permafrost thaw lake area change (satellite),Methane ebullition measurements,"Infrastructure damage indices (roads, pipelines)",Siberian/Alaskan O&G facility ground stability,Ongoing — accelerating with warming,High,satellite lake area change well documented,"Arctic O&G infrastructure, pipeline operators, sovereign bonds (Russia, Canada), carbon accounting",Methane & GHG credits|Oil & gas infrastructure (permafrost)|Carbon offsets|Russian pipeline integrity|Boreal agriculture,Long: methane volatility instruments|Short: Siberian infrastructure-exposed energy companies|Long: permafrost monitoring tech,Permafrost thaw is destabilising Russian oil/gas infrastructure. Gazprom and Novatek have quantified billions in maintenance uplift. Also releases legacy carbon creating SCC feedback.
Indian summer monsoon,true,climate|planetary,abrupt,Agriculture|Insurance|Sovereign|Water,Monsoon onset timing and deficit anomalies,Indian reservoir storage levels,Kharif crop yield forecasts,South Asian sovereign credit risk premium,Non-linear risk; current weakening trend observable,Moderate,IMD + GRACE groundwater + satellite,"Indian agri-commodity futures, South Asian sovereign bonds, P&C insurance books, water-intensive Indian corporates","Indian wheat, rice, sugar cane|Cotton|Hydropower (Himalayan rivers)|Food price index (FAO)|Indian rupee",Long: food price volatility instruments|Short: irrigation-dependent Indian ag exporters in erratic monsoon years|Long: drip irrigation & precision water tech|Watch: INR-linked agricultural commodity trades,Monsoon onset timing is already shifting. 1.4B people depend on it. Rice and sugar markets react to Indian monsoon forecasts within days. El Niño interaction amplifies volatility.
River channel change,false,terrestrial,medium,Agriculture|Infrastructure|Insurance|Water,Channel migration rates (satellite time-series),Flood frequency and magnitude change,Sediment load proxies,Bridge/levee infrastructure damage cost trends,5–50 yr depending on river system,High,satellite clearly captures channel change,"Floodplain RE, river infrastructure bonds, flood insurance, agri-land near dynamic rivers",Freshwater fisheries|Irrigation-fed crops|Hydropower generation|Sand & gravel mining|Flood insurance,Long: riverine flood reinsurance|Short: sand mining licences in unstable channels|Long: adaptive irrigation infrastructure,"Glacier-fed rivers (Ganges, Brahmaputra, Colorado) facing flow regime change. Hydropower operators are already revising long-term generation forecasts. Sand and gravel supply disrupted by channel migration."
Common pool resource harvesting,false,marine|terrestrial|urban,abrupt,Fisheries|Forestry|Water|Sovereign,Harvest effort vs. stock ratio trends,Governance breakdown indicators,Community conflict frequency,Resource quota violation rates,Context-dependent; can be rapid after governance failure,Low-moderate,requires socio-economic + ecological monitoring,"Fisheries quota assets, forestry concessions, sovereign bonds where resource is GDP-significant",Open-access fisheries (IUU fishing)|Community forestry|Shared grazing|Groundwater,"Long: quota-managed fisheries over open-access|Long: groundwater futures (emerging)|Watch: IUU seafood labelling regulations (EU, US)","Tragedy of commons dynamics drive race-to-fish. IUU fishing represents 20% of global catch. Supply chain traceability regulation (EU deforestation law, US Seafood Import Monitoring) creates compliance cost premium."
Sprawling vs compact cities,false,urban,slow,Real estate|Infrastructure|Energy|Transport,Urban land expansion rate vs. population growth ratio,Per-capita infrastructure cost trajectories,Transit ridership and mode share,Urban heat island intensity trends,Decades; path-dependent,High,satellite urban extent monitoring,"Urban RE (spatial distribution matters), transport infrastructure, municipal bonds, energy utilities",Peri-urban agricultural land|Real estate & REITs|Transport energy|Urban food systems,"Long: urban food tech (vertical farming, urban ag) in sprawl-constrained markets|Long: transit-oriented real estate|Short: car-dependent retail REITs",Urban sprawl converts ~1.2M ha/yr of agricultural land globally. This is a slow but compounding pressure on peri-urban food supply. Most tradeable via real estate and urban infrastructure debt.
